hold	lock	stop	trail	months	wins	trades	total	avg	field_avg	lift	pos_years	n_years
20160	4	8.5	5	51	28	338	74.68	0.2209	-0.0961	0.3171	4	5
20160	4	8.5	6	51	28	331	41.49	0.1254	-0.1023	0.2277	4	5
20160	4	8.5	7	51	30	348	111.67	0.3209	-0.1202	0.4410	5	5
20160	4	8.5	8	52	31	360	97.05	0.2696	-0.1159	0.3855	5	5
20160	4	9	3	50	25	381	-9.29	-0.0244	-0.1432	0.1188	2	5
20160	4	9	4	51	30	363	-47.91	-0.1320	-0.1944	0.0624	3	5
20160	4	9	5	51	33	375	70.08	0.1869	-0.1217	0.3086	4	5
20160	4	9	6	51	33	372	71.48	0.1922	-0.1222	0.3143	4	5
20160	4	9	7	51	34	395	154.27	0.3906	-0.1294	0.5200	4	5
20160	4	9	8	52	34	392	105.59	0.2694	-0.1170	0.3864	3	5
20160	4	9.5	3	51	26	410	-5.44	-0.0133	-0.1623	0.1490	3	5
20160	4	9.5	4	52	31	383	61.81	0.1614	-0.0490	0.2104	3	5
20160	4	9.5	5	52	33	379	96.25	0.2539	-0.0938	0.3478	4	5
20160	4	9.5	6	51	32	370	86.82	0.2347	-0.1210	0.3557	4	5
20160	4	9.5	7	51	33	378	152.29	0.4029	-0.1365	0.5394	4	5
20160	4	9.5	8	52	33	383	135.13	0.3528	-0.1132	0.4660	4	5
20160	4	10	3	51	25	416	-27.27	-0.0655	-0.1670	0.1014	3	5
20160	4	10	4	52	32	348	135.58	0.3896	-0.0293	0.4189	4	5
20160	4	10	5	52	32	373	130.10	0.3488	-0.0535	0.4023	4	5
20160	4	10	6	51	31	361	131.82	0.3652	-0.0749	0.4401	4	5
20160	4	10	7	51	31	360	148.44	0.4123	-0.0661	0.4784	4	5
20160	4	10	8	52	33	359	133.49	0.3719	-0.0429	0.4147	4	5
20160	5	8	3	53	30	388	110.70	0.2853	-0.1196	0.4049	4	5
20160	5	8	4	53	33	364	140.66	0.3864	0.0090	0.3774	3	5
20160	5	8	5	53	37	415	297.47	0.7168	-0.0255	0.7423	5	5
20160	5	8	6	53	34	412	190.29	0.4619	-0.0490	0.5108	4	5
20160	5	8	7	53	34	417	180.87	0.4337	-0.0479	0.4816	4	5
20160	5	8	8	53	33	431	167.90	0.3896	-0.0520	0.4415	4	5
20160	5	8.5	3	53	30	353	65.17	0.1846	-0.1637	0.3483	3	5
20160	5	8.5	4	53	34	364	104.61	0.2874	-0.0328	0.3202	3	5
20160	5	8.5	5	53	33	405	248.71	0.6141	-0.0004	0.6145	5	5
20160	5	8.5	6	53	30	406	203.11	0.5003	-0.0185	0.5187	5	5
20160	5	8.5	7	53	31	408	195.21	0.4785	-0.0270	0.5055	5	5
20160	5	8.5	8	53	31	420	191.83	0.4567	-0.0506	0.5073	5	5
20160	5	9	3	51	30	381	62.26	0.1634	-0.2024	0.3658	3	5
20160	5	9	4	54	34	400	126.89	0.3172	-0.0951	0.4123	3	5
20160	5	9	5	53	31	450	208.69	0.4638	-0.0722	0.5360	4	5
20160	5	9	6	53	30	409	211.43	0.5170	-0.0128	0.5298	5	5
